player_name,elo,hard_elo,clay_elo,grass_elo,rank,rank_points,age,ht,is_left,matches_played,win_last_5,win_last_25,win_last_50,win_last_100,elo_grad_20,elo_grad_35,elo_grad_50,elo_grad_100,ace_avg_last_5,ace_avg_last_20,ace_avg_last_50,df_avg_last_5,df_avg_last_20,df_avg_last_50,1st_win_pct_avg_last_5,1st_win_pct_avg_last_20,1st_win_pct_avg_last_50,bp_save_pct_avg_last_5,bp_save_pct_avg_last_20,bp_save_pct_avg_last_50
Gaston Etlis,1855.3301466037692,1948.5957286351354,1796.7773082285887,1855.3301466037692,260.0,130.0,50.8,185.0,0,78,0.6,0.36,0.35714285714285715,0.35714285714285715,39.77234596996209,-4.608180885165439,-4.608180885165439,-4.608180885165439,6.2,4.7,4.785714285714286,5.2,4.35,4.0,0.6734873151164944,0.6810103602732483,0.6856646556804551,0.6998917748917748,0.6143292818292819,0.5862828639614354
Nam Hoang Ly,1443.0103551283362,1459.333718506395,1400.0,1443.0103551283362,554.0,67.0,27.9,175.0,0,7,0.6,0.5714285714285714,0.5714285714285714,0.5714285714285714,43.01035512833619,43.01035512833619,43.01035512833619,43.01035512833619,2.0,2.0,2.0,1.0,1.8571428571428572,1.8571428571428572,0.49682834537323706,0.5375436764060366,0.5375436764060366,0.47777777777777775,0.47052154195011336,0.47052154195011336
Sanchai Ratiwatana,1522.340112097007,1568.7952939245406,1586.5499730021907,1522.340112097007,1417.0,1.0,43.6,175.0,0,18,0.2,0.375,0.375,0.375,-68.23734862750575,-68.23734862750575,-68.23734862750575,-68.23734862750575,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0
Mohammed Abdulla,1400.0,1400.0,1400.0,1400.0,1349.0,2.0,39.6,185.67156964873536,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Roman Valent,1400.0,1400.0,1400.0,1400.0,1088.0,7.0,42.2,183.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Mili Poljicak,1388.2912547887797,1388.2912547887797,1388.2912547887797,1388.2912547887797,481.0,87.0,21.0,185.0,0,1,0.0,0.0,0.0,0.0,-11.708745211220275,-11.708745211220275,-11.708745211220275,-11.708745211220275,3.0,3.0,3.0,4.0,4.0,4.0,0.6461538461538462,0.6461538461538462,0.6461538461538462,0.75,0.75,0.75
Dragos Nicolae Madaras,1356.4226261708588,1366.2293737305706,1400.0,1356.4226261708588,191.0,308.0,27.8,191.0,1,3,0.0,0.0,0.0,0.0,-43.57737382914115,-43.57737382914115,-43.57737382914115,-43.57737382914115,1.6666666666666667,1.6666666666666667,1.6666666666666667,3.3333333333333335,3.3333333333333335,3.3333333333333335,0.5686903092232686,0.5686903092232686,0.5686903092232686,0.3111111111111111,0.3111111111111111,0.3111111111111111
Albert Ramos,1453.870697214599,1355.8936419367903,1666.6942514036562,1316.6914041241535,122.0,483.0,37.6,188.0,1,612,0.0,0.36,0.3,0.4,-83.98978046040361,-73.57204362889479,-203.9498194981354,-185.3035366135673,1.2,1.85,2.5,1.0,1.8,2.0,0.5971195741195741,0.6253486844828815,0.6454108042901968,0.47015873015873016,0.528044733044733,0.5997637460578636
Sebastian Dominko,1350.756482041064,1400.0,1373.8805707214228,1350.756482041064,1107.0,8.0,21.7,203.0,1,2,0.0,0.0,0.0,0.0,-49.24351795893608,-49.24351795893608,-49.24351795893608,-49.24351795893608,7.0,7.0,7.0,5.5,5.5,5.5,0.6807359307359307,0.6807359307359307,0.6807359307359307,0.5,0.5,0.5
Thomas Yaka Kofi Setodji,1394.086614315926,1417.606849916372,1394.086614315926,1394.086614315926,1240.0,6.0,29.9,183.0,0,2,0.5,0.5,0.5,0.5,-5.913385684074001,-5.913385684074001,-5.913385684074001,-5.913385684074001,6.0,6.0,6.0,2.5,2.5,2.5,0.6956709956709957,0.6956709956709957,0.6956709956709957,0.7777777777777778,0.7777777777777778,0.7777777777777778
Roberto Marcora,1476.0887364074893,1489.980912093298,1400.0,1476.0887364074893,208.0,320.0,36.0,193.0,0,6,0.6,0.5,0.5,0.5,76.08873640748925,76.08873640748925,76.08873640748925,76.08873640748925,3.4,3.1666666666666665,3.1666666666666665,0.8,1.0,1.0,0.7390168852557479,0.7225140710464566,0.7225140710464566,0.41500000000000004,0.4172619047619048,0.4172619047619048
Mao Xin Gong,1404.4295296636021,1404.4295296636021,1404.4295296636021,1404.4295296636021,718.0,27.0,38.1,178.0,0,7,0.2,0.2857142857142857,0.2857142857142857,0.2857142857142857,4.429529663602125,4.429529663602125,4.429529663602125,4.429529663602125,-0.2,-0.42857142857142855,-0.42857142857142855,1.6,0.8571428571428571,0.8571428571428571,0.3369001547987616,0.24064296771340116,0.24064296771340116,0.25727272727272726,0.18376623376623377,0.18376623376623377
Shendrit Deari,1400.0,1400.0,1400.0,1400.0,2000.0,0.0,36.5,185.67156964873536,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Zachary Svajda,1392.3080959147098,1454.804632533815,1392.3080959147098,1400.0,131.0,452.0,22.8,175.0,0,20,0.4,0.25,0.25,0.25,9.780864433376792,-7.691904085290162,-7.691904085290162,-7.691904085290162,2.6,3.85,3.85,2.4,2.3,2.3,0.660032996952819,0.6638927933584938,0.6638927933584938,0.5892857142857143,0.5041620879120879,0.5041620879120879
Stefano Galvani,1690.3638564976618,1748.9528610167956,1744.0661840558846,1790.9969490324163,321.0,143.0,47.6,178.0,0,104,0.2,0.32,0.34,0.3333333333333333,-65.76982182222923,-151.67552577798733,-102.07768596638152,-97.21163969930694,3.0,1.9,2.72,4.0,4.35,4.22,0.650445805461003,0.6436255087424925,0.6136340771223212,0.5242424242424242,0.5208606671106671,0.4732398712398712
Yu Zhang,1388.0114418578926,1363.8737457520856,1388.0114418578926,1388.0114418578926,755.0,13.0,49.4,185.67156964873536,0,9,0.2,0.1111111111111111,0.1111111111111111,0.1111111111111111,-11.988558142107422,-11.988558142107422,-11.988558142107422,-11.988558142107422,-0.4,-0.6666666666666666,-0.6666666666666666,-0.6,-0.7777777777777778,-0.7777777777777778,0.11515151515151516,0.06397306397306397,0.06397306397306397,0.08,0.044444444444444446,0.044444444444444446
Andrei Karatchenia,1478.6351323368176,1518.367966346361,1400.0,1478.6351323368176,589.0,73.0,36.3,185.67156964873536,0,5,0.6,0.6,0.6,0.6,78.6351323368176,78.6351323368176,78.6351323368176,78.6351323368176,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0
Josselin Ouanna,1673.7280331529698,1474.2158179777239,1527.853481634549,1673.7280331529698,156.0,333.0,38.9,193.0,0,25,0.2,0.36,0.36,0.36,193.2431140275114,273.72803315296983,273.72803315296983,273.72803315296983,7.0,7.05,6.84,4.4,3.85,3.4,0.7397548205323694,0.7481547959055501,0.7418231100317779,0.5716666666666667,0.472165404040404,0.4701767676767677
Karlis Lejnieks,1376.2155010961203,1430.0379526402432,1348.3879067012715,1376.2155010961203,519.0,51.0,37.4,185.67156964873536,0,9,0.4,0.3333333333333333,0.3333333333333333,0.3333333333333333,-23.784498903879694,-23.784498903879694,-23.784498903879694,-23.784498903879694,2.8,1.1111111111111112,1.1111111111111112,0.8,0.0,0.0,0.25142857142857145,0.13968253968253969,0.13968253968253969,0.22051282051282053,0.12250712250712252,0.12250712250712252
Jesper De Jong,1460.099250302998,1445.4377882863919,1454.0129631584741,1430.101166882354,109.0,541.0,25.4,180.0,0,9,0.2,0.2222222222222222,0.2222222222222222,0.2222222222222222,29.99808342064398,29.99808342064398,29.99808342064398,29.99808342064398,5.4,5.777777777777778,5.777777777777778,4.2,3.6666666666666665,3.6666666666666665,0.6766782106782108,0.6695992807897571,0.6695992807897571,0.49883838383838386,0.5629669713003046,0.5629669713003046
Dino Prizmic,1419.4575112583225,1396.7992602211177,1376.628258435348,1419.4575112583225,171.0,361.0,19.5,188.0,0,10,0.2,0.3,0.3,0.3,19.457511258322484,19.457511258322484,19.457511258322484,19.457511258322484,3.2,2.1,2.1,2.6,2.9,2.9,0.6609976177596188,0.6667025125835131,0.6667025125835131,0.4086601307189543,0.5404014939309058,0.5404014939309058
Reda El Amrani,1494.4897727978118,1400.0,1559.8805324985544,1494.4897727978118,667.0,38.0,36.8,185.0,0,15,0.4,0.4666666666666667,0.4666666666666667,0.4666666666666667,94.48977279781184,94.48977279781184,94.48977279781184,94.48977279781184,4.2,3.7333333333333334,3.7333333333333334,5.2,3.2666666666666666,3.2666666666666666,0.5554074857512192,0.40655971731945645,0.40655971731945645,0.3888888888888889,0.3625891700891701,0.3625891700891701
Jack Sock,1683.510858631158,1534.884181016892,1522.2788038993165,1428.2862182994115,166.0,359.0,32.5,191.0,0,335,0.4,0.36,0.42,0.4,-54.4490973859688,14.68963201512247,-3.7636055029413455,-382.7831827756754,6.4,6.55,6.62,5.6,4.1,3.94,0.7256539768393316,0.6710610285295636,0.687712333747581,0.7471861471861472,0.567958152958153,0.5432497502497502
William Blumberg,1400.0,1400.0,1400.0,1400.0,773.0,21.0,27.4,188.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Mate Valkusz,1335.1776838881608,1399.4096700163445,1360.577852259702,1335.1776838881608,402.0,117.0,27.0,183.0,0,8,0.2,0.125,0.125,0.125,-64.8223161118392,-64.8223161118392,-64.8223161118392,-64.8223161118392,2.8,2.0,2.0,3.0,3.25,3.25,0.5476632419773051,0.5595753842409895,0.5595753842409895,0.33974358974358976,0.4057109557109557,0.4057109557109557
Jean Francois Bachelot,1782.959986732616,1756.4300513218468,1767.3861000028387,1732.8701890440018,165.0,225.0,48.0,183.0,0,57,0.4,0.42857142857142855,0.42857142857142855,0.42857142857142855,26.529935410769212,26.529935410769212,26.529935410769212,26.529935410769212,3.2,3.857142857142857,3.857142857142857,2.0,3.5714285714285716,3.5714285714285716,0.5664892043774031,0.6201227833464967,0.6201227833464967,0.5276960784313725,0.5480403699941515,0.5480403699941515
Wan Gao,1400.0,1400.0,1400.0,1400.0,1249.0,4.0,37.6,185.67156964873536,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Ronald Agenor,1758.8510243849864,1839.7276253352577,1843.4653621443517,1917.1546539407716,178.0,207.0,60.7,180.0,0,175,0.2,0.28,0.28,0.28,-93.24615460709288,-146.4676057031429,-146.4676057031429,-146.4676057031429,1.6,2.55,2.4,2.6,2.6,2.6,0.6452654734707923,0.6223279005956046,0.6316386852957893,0.6335087719298246,0.5077920183531639,0.4895669480158644
Mark Hilton,1677.080155132776,1677.080155132776,1677.080155132776,1677.080155132776,212.0,197.0,44.1,170.0,1,14,0.25,0.25,0.25,0.25,13.954368782103757,13.954368782103757,13.954368782103757,13.954368782103757,4.25,4.25,4.25,7.5,7.5,7.5,0.669377990430622,0.669377990430622,0.669377990430622,0.6305555555555555,0.6305555555555555,0.6305555555555555
Vladimir Ivanov,1423.3116476577272,1504.9817392907676,1353.0700106679146,1423.3116476577272,717.0,32.0,38.4,185.67156964873536,0,12,0.4,0.5,0.5,0.5,23.311647657727235,23.311647657727235,23.311647657727235,23.311647657727235,1.6,0.08333333333333333,0.08333333333333333,1.0,-0.16666666666666666,-0.16666666666666666,0.3195548489666137,0.13314785373608903,0.13314785373608903,0.14666666666666667,0.06111111111111111,0.06111111111111111
Khumoun Sultanov,1399.637434141052,1397.882139159633,1400.0,1400.0,236.0,243.0,26.8,180.0,0,6,0.2,0.3333333333333333,0.3333333333333333,0.3333333333333333,-0.3625658589480736,-0.3625658589480736,-0.3625658589480736,-0.3625658589480736,2.2,3.1666666666666665,3.1666666666666665,0.0,0.5,0.5,0.38870614035087725,0.45725511695906434,0.45725511695906434,0.3638888888888889,0.43657407407407406,0.43657407407407406
Kris Van Wyk,1425.1250838975375,1400.0,1425.1250838975375,1425.1250838975375,416.0,109.0,28.3,185.0,0,1,1.0,1.0,1.0,1.0,25.12508389753748,25.12508389753748,25.12508389753748,25.12508389753748,4.0,4.0,4.0,2.0,2.0,2.0,0.6956521739130435,0.6956521739130435,0.6956521739130435,0.5454545454545454,0.5454545454545454,0.5454545454545454
Ryan Henry,1400.0,1400.0,1400.0,1400.0,578.0,30.0,40.2,183.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Brian Wilson,1415.2677706141208,1438.5347470005797,1415.2677706141208,1400.0,249.0,161.0,42.7,190.0,0,4,0.25,0.25,0.25,0.25,15.267770614120764,15.267770614120764,15.267770614120764,15.267770614120764,5.25,5.25,5.25,6.25,6.25,6.25,0.7435711665733863,0.7435711665733863,0.7435711665733863,0.7833333333333333,0.7833333333333333,0.7833333333333333
Guillem Burniol,1394.68999523867,1394.68999523867,1394.68999523867,1394.68999523867,505.0,49.0,41.6,185.67156964873536,0,1,0.0,0.0,0.0,0.0,-5.310004761329992,-5.310004761329992,-5.310004761329992,-5.310004761329992,3.0,3.0,3.0,11.0,11.0,11.0,0.6851851851851852,0.6851851851851852,0.6851851851851852,0.6,0.6,0.6
Chun Hsin Tseng,1353.7235052587687,1388.3842775740643,1363.2703562439447,1400.0,121.0,489.0,24.1,175.0,0,31,0.2,0.2,0.25806451612903225,0.25806451612903225,-95.84890090351678,-46.27649474123132,-46.27649474123132,-46.27649474123132,0.6,2.05,2.0,0.4,3.0,2.806451612903226,0.4096774193548387,0.5819830359304633,0.5990772674832374,0.17714285714285713,0.47316738816738824,0.44474833620943677
Takahiro Ittogi,1400.0,1400.0,1400.0,1400.0,2000.0,0.0,36.7,185.67156964873536,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Mario Vilella Martinez,1471.4047544100047,1469.4889220725172,1448.7638690422214,1471.4047544100047,167.0,446.0,30.0,178.0,0,9,0.4,0.4444444444444444,0.4444444444444444,0.4444444444444444,59.08157581694741,59.08157581694741,59.08157581694741,59.08157581694741,7.6,7.888888888888889,7.888888888888889,6.4,5.888888888888889,5.888888888888889,0.7179230139230139,0.732890689732795,0.732890689732795,0.6233333333333333,0.6926807760141094,0.6926807760141094
